YEAR; Days    ; E_Leaf     ; g_s        ; P_Leaf_sym ; PLC_Leaf   ; PLC_Branch ; A_net[0]   ; RWC_soil   ; P_soil     ; 
2000; 1.00084; 0.00000000e+00; 0.00000000e+00; -5.12373854e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00087; 0.00000000e+00; 0.00000000e+00; -5.31153482e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00090; 0.00000000e+00; 0.00000000e+00; -5.49885260e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00093; 0.00000000e+00; 0.00000000e+00; -5.68564023e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00096; 0.00000000e+00; 0.00000000e+00; -5.87185014e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00099; 0.00000000e+00; 0.00000000e+00; -6.05743821e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00102; 0.00000000e+00; 0.00000000e+00; -6.24236354e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00105; 0.00000000e+00; 0.00000000e+00; -6.42658827e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00108; 0.00000000e+00; 0.00000000e+00; -6.61007732e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00110; 0.00000000e+00; 0.00000000e+00; -6.79279830e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00113; 0.00000000e+00; 0.00000000e+00; -6.97472129e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00116; 0.00000000e+00; 0.00000000e+00; -7.15581872e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00119; 0.00000000e+00; 0.00000000e+00; -7.33606523e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00122; 0.00000000e+00; 0.00000000e+00; -7.51543749e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00125; 0.00000000e+00; 0.00000000e+00; -7.69391414e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00128; 0.00000000e+00; 0.00000000e+00; -7.87147562e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00131; 0.00000000e+00; 0.00000000e+00; -8.04810409e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00134; 0.00000000e+00; 0.00000000e+00; -8.22378330e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00136; 0.00000000e+00; 0.00000000e+00; -8.39849851e-03; 1.78371656e-03; 1.80887311e-03; -2.11280570e-05; 9.92035539e-01; -3.30000000e-02; 
2000; 1.00139; 7.07469533e-02; 0.00000000e+00; -8.63937747e-03; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00142; 7.07469533e-02; 0.00000000e+00; -9.25113907e-03; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00145; 7.07469533e-02; 0.00000000e+00; -9.85622332e-03; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00148; 7.07469533e-02; 0.00000000e+00; -1.04554599e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00151; 7.07469533e-02; 0.00000000e+00; -1.10490616e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00154; 7.07469533e-02; 0.00000000e+00; -1.16371371e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00157; 7.07469533e-02; 0.00000000e+00; -1.22197731e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00160; 7.07469533e-02; 0.00000000e+00; -1.27970497e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00162; 7.07469533e-02; 0.00000000e+00; -1.33690441e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00165; 7.07469533e-02; 0.00000000e+00; -1.39358307e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00168; 7.07469533e-02; 0.00000000e+00; -1.44974820e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00171; 7.07469533e-02; 0.00000000e+00; -1.50540682e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00174; 7.07469533e-02; 0.00000000e+00; -1.56056574e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00177; 7.07469533e-02; 0.00000000e+00; -1.61523160e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00180; 7.07469533e-02; 0.00000000e+00; -1.66941084e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00183; 7.07469533e-02; 0.00000000e+00; -1.72310974e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00186; 7.07469533e-02; 0.00000000e+00; -1.77633439e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00188; 7.07469533e-02; 0.00000000e+00; -1.82909076e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00191; 7.07469533e-02; 0.00000000e+00; -1.88138462e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00194; 7.07469533e-02; 0.00000000e+00; -1.93322164e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00197; 7.07469533e-02; 0.00000000e+00; -1.98460733e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00200; 7.07469533e-02; 0.00000000e+00; -2.03554707e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00203; 7.07469533e-02; 0.00000000e+00; -2.08604612e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00206; 7.07469533e-02; 0.00000000e+00; -2.13610961e-02; 1.80049413e-03; 1.82676261e-03; 2.54787510e-18; 9.92034958e-01; -3.30000000e-02; 
2000; 1.00209; 6.95775525e-02; 0.00000000e+00; -2.18547705e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00212; 6.95775525e-02; 0.00000000e+00; -2.23383252e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00215; 6.95775525e-02; 0.00000000e+00; -2.28187247e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00217; 6.95775525e-02; 0.00000000e+00; -2.32952615e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00220; 6.95775525e-02; 0.00000000e+00; -2.37678052e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00223; 6.95775525e-02; 0.00000000e+00; -2.42363654e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00226; 6.95775525e-02; 0.00000000e+00; -2.47009785e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00229; 6.95775525e-02; 0.00000000e+00; -2.51616847e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00232; 6.95775525e-02; 0.00000000e+00; -2.56185249e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00235; 6.95775525e-02; 0.00000000e+00; -2.60715394e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00238; 6.95775525e-02; 0.00000000e+00; -2.65207675e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00241; 6.95775525e-02; 0.00000000e+00; -2.69662483e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00243; 6.95775525e-02; 0.00000000e+00; -2.74080198e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00246; 6.95775525e-02; 0.00000000e+00; -2.78461196e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00249; 6.95775525e-02; 0.00000000e+00; -2.82805847e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00252; 6.95775525e-02; 0.00000000e+00; -2.87114513e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00255; 6.95775525e-02; 0.00000000e+00; -2.91387552e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00258; 6.95775525e-02; 0.00000000e+00; -2.95625316e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00261; 6.95775525e-02; 0.00000000e+00; -2.99828152e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00264; 6.95775525e-02; 0.00000000e+00; -3.03996399e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00267; 6.95775525e-02; 0.00000000e+00; -3.08130395e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00269; 6.95775525e-02; 0.00000000e+00; -3.12230470e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00272; 6.95775525e-02; 0.00000000e+00; -3.16296951e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00275; 6.95775525e-02; 0.00000000e+00; -3.20330159e-02; 1.84548868e-03; 1.86118746e-03; -2.92757528e-06; 9.92034530e-01; -3.30000000e-02; 
2000; 1.00278; 6.93249062e-02; 0.00000000e+00; -3.24318658e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00281; 6.93249062e-02; 0.00000000e+00; -3.28259971e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00284; 6.93249062e-02; 0.00000000e+00; -3.32177432e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00287; 6.93249062e-02; 0.00000000e+00; -3.36064918e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00290; 6.93249062e-02; 0.00000000e+00; -3.39921207e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00293; 6.93249062e-02; 0.00000000e+00; -3.43746301e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00296; 6.93249062e-02; 0.00000000e+00; -3.47540431e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00298; 6.93249062e-02; 0.00000000e+00; -3.51303871e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00301; 6.93249062e-02; 0.00000000e+00; -3.55036901e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00304; 6.93249062e-02; 0.00000000e+00; -3.58739797e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00307; 6.93249062e-02; 0.00000000e+00; -3.62412835e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00310; 6.93249062e-02; 0.00000000e+00; -3.66056285e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00313; 6.93249062e-02; 0.00000000e+00; -3.69670414e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00316; 6.93249062e-02; 0.00000000e+00; -3.73255489e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00319; 6.93249062e-02; 0.00000000e+00; -3.76811770e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00322; 6.93249062e-02; 0.00000000e+00; -3.80339515e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00324; 6.93249062e-02; 0.00000000e+00; -3.83838981e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00327; 6.93249062e-02; 0.00000000e+00; -3.87310419e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00330; 6.93249062e-02; 0.00000000e+00; -3.90754081e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00333; 6.93249062e-02; 0.00000000e+00; -3.94170212e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00336; 6.93249062e-02; 0.00000000e+00; -3.97559057e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00339; 6.93249062e-02; 0.00000000e+00; -4.00920857e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00342; 6.93249062e-02; 0.00000000e+00; -4.04255851e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00345; 6.93249062e-02; 0.00000000e+00; -4.07564275e-02; 1.88432337e-03; 1.89174328e-03; -3.89919894e-06; 9.92034016e-01; -3.30000000e-02; 
2000; 1.00348; 6.90794492e-02; 0.00000000e+00; -4.10836184e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00350; 6.90794492e-02; 0.00000000e+00; -4.14067860e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00353; 6.90794492e-02; 0.00000000e+00; -4.17280907e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00356; 6.90794492e-02; 0.00000000e+00; -4.20470091e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00359; 6.90794492e-02; 0.00000000e+00; -4.23634327e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00362; 6.90794492e-02; 0.00000000e+00; -4.26773581e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00365; 6.90794492e-02; 0.00000000e+00; -4.29888022e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00368; 6.90794492e-02; 0.00000000e+00; -4.32977853e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00371; 6.90794492e-02; 0.00000000e+00; -4.36043284e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00374; 6.90794492e-02; 0.00000000e+00; -4.39084523e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
2000; 1.00377; 6.90794492e-02; 0.00000000e+00; -4.42101777e-02; 1.91717384e-03; 1.91781331e-03; -1.61799802e-06; 9.92033568e-01; -3.30000000e-02; 
